Account_Number,Customer_Name,Invoice_Group,Total
QA18,ADMILL INVESTMENTS LIMITED,10cm Sweet Potato Tray of 10,0
QA18,ADMILL INVESTMENTS LIMITED,1L Pot Herb Tray of 8,185.28
QA18,ADMILL INVESTMENTS LIMITED,1L Pot Veg Tray of 8,0
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Pot Herb Tray of 18,112.32
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Pot Strawberry Tray of 18,257.4
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Pot Sweet Pea Tray of 18,0
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Pot vegetables Tray of 18,196.56
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Premium Pot Veg Tray of 18,75.6
QA18,ADMILL INVESTMENTS LIMITED,8.5cm Wildflower Tray of 18,0
QA18,ADMILL INVESTMENTS LIMITED,Bare root Wallflowers,0
QA18,ADMILL INVESTMENTS LIMITED,Point of Sale,0
QA18,ADMILL INVESTMENTS LIMITED,Q Sleeve Wallflowers,129.6
QA18,ADMILL INVESTMENTS LIMITED,Strawberry Carry Packs Tray of 6,11.64
QA18,ADMILL INVESTMENTS LIMITED,Strip Vegetables Tray of 6,390.6
QA18,ADMILL INVESTMENTS LIMITED,Sweet Pea Carry Packs Tray of 6,23.28
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,10cm Bean/Pea Range - Trays of 10,192
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,10cm Grafted Vegetable Trays of 10,590
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,10cm Pot Chilli Tray of 10,316.8
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,10cm Pot Heritage Tomato,24
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,10cm Sweet Potato Tray of 10,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,1L Pot Herb Tray of 8,2238.8
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,1L Pot Veg Tray of 8,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Pot Herb Tray of 18,730.08
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Pot Strawberry Tray of 18,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Pot Sweet Pea Tray of 18,270.72
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Pot vegetables Tray of 18,1095.12
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Premium Pot Veg Tray of 18,574.56
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,8.5cm Wildflower Tray of 18,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Bare root Wallflowers,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Point of Sale,0
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Q Sleeve Wallflowers,97.2
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Strawberry Carry Packs Tray of 6,1001.04
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Strip Vegetables Tray of 6,4529.1
QW172,ADRIAN WHITE BUILDING SUPPLIES LTD,Sweet Pea Carry Packs Tray of 6,488.88
QA102,AFFINITY TRUST,10cm Bean/Pea Range - Trays of 10,0
QA102,AFFINITY TRUST,10cm Grafted Vegetable Trays of 10,0
QA102,AFFINITY TRUST,10cm Pot Chilli Tray of 10,0
QA102,AFFINITY TRUST,10cm Pot Heritage Tomato,0
QA102,AFFINITY TRUST,10cm Sweet Potato Tray of 10,0
QA102,AFFINITY TRUST,1L Pot Herb Tray of 8,355.12
QA102,AFFINITY TRUST,1L Pot Veg Tray of 8,0
QA102,AFFINITY TRUST,8.5cm Pot Herb Tray of 18,1872
QA102,AFFINITY TRUST,8.5cm Pot Strawberry Tray of 18,0
QA102,AFFINITY TRUST,8.5cm Pot Sweet Pea Tray of 18,0
QA102,AFFINITY TRUST,8.5cm Pot vegetables Tray of 18,140.4
QA102,AFFINITY TRUST,8.5cm Premium Pot Veg Tray of 18,45.36
QA102,AFFINITY TRUST,8.5cm Wildflower Tray of 18,0
QA102,AFFINITY TRUST,Bare root Wallflowers,0
QA102,AFFINITY TRUST,Point of Sale,0
QA102,AFFINITY TRUST,Q Sleeve Wallflowers,234
QA102,AFFINITY TRUST,Strawberry Carry Packs Tray of 6,0
QA102,AFFINITY TRUST,Strip Vegetables Tray of 6,2120.4
QA102,AFFINITY TRUST,Sweet Pea Carry Packs Tray of 6,0
QA70,ALANSHIRE LTD,10cm Bean/Pea Range - Trays of 10,576
QA70,ALANSHIRE LTD,10cm Grafted Vegetable Trays of 10,885
QA70,ALANSHIRE LTD,10cm Pot Chilli Tray of 10,594
QA70,ALANSHIRE LTD,10cm Pot Heritage Tomato,192
QA70,ALANSHIRE LTD,10cm Sweet Potato Tray of 10,196
QA70,ALANSHIRE LTD,1L Pot Herb Tray of 8,1219.76
QA70,ALANSHIRE LTD,1L Pot Veg Tray of 8,770.24
QA70,ALANSHIRE LTD,8.5cm Pot Herb Tray of 18,2040.48
QA70,ALANSHIRE LTD,8.5cm Pot Strawberry Tray of 18,1069.2
QA70,ALANSHIRE LTD,8.5cm Pot Sweet Pea Tray of 18,541.44
QA70,ALANSHIRE LTD,8.5cm Pot vegetables Tray of 18,1488.24
QA70,ALANSHIRE LTD,8.5cm Premium Pot Veg Tray of 18,544.32
QA70,ALANSHIRE LTD,8.5cm Wildflower Tray of 18,0
QA70,ALANSHIRE LTD,Bare root Wallflowers,0
QA70,ALANSHIRE LTD,Point of Sale,0
QA70,ALANSHIRE LTD,Q Sleeve Wallflowers,0
QA70,ALANSHIRE LTD,Strawberry Carry Packs Tray of 6,523.8
QA70,ALANSHIRE LTD,Strip Vegetables Tray of 6,2148.3
QA70,ALANSHIRE LTD,Sweet Pea Carry Packs Tray of 6,349.2
QK14,ALBAN HILL NURSERY,10cm Bean/Pea Range - Trays of 10,0
QK14,ALBAN HILL NURSERY,10cm Grafted Vegetable Trays of 10,0
QK14,ALBAN HILL NURSERY,10cm Pot Chilli Tray of 10,0
QK14,ALBAN HILL NURSERY,10cm Pot Heritage Tomato,0
QK14,ALBAN HILL NURSERY,10cm Sweet Potato Tray of 10,0
QK14,ALBAN HILL NURSERY,1L Pot Herb Tray of 8,0
QK14,ALBAN HILL NURSERY,1L Pot Veg Tray of 8,0
QK14,ALBAN HILL NURSERY,8.5cm Pot Herb Tray of 18,0
QK14,ALBAN HILL NURSERY,8.5cm Pot Strawberry Tray of 18,0
QK14,ALBAN HILL NURSERY,8.5cm Pot Sweet Pea Tray of 18,0
QK14,ALBAN HILL NURSERY,8.5cm Pot vegetables Tray of 18,0
QK14,ALBAN HILL NURSERY,8.5cm Premium Pot Veg Tray of 18,0
QK14,ALBAN HILL NURSERY,8.5cm Wildflower Tray of 18,0
QK14,ALBAN HILL NURSERY,Bare root Wallflowers,0
QK14,ALBAN HILL NURSERY,Point of Sale,0
QK14,ALBAN HILL NURSERY,Q Sleeve Wallflowers,292.5
QK14,ALBAN HILL NURSERY,Strawberry Carry Packs Tray of 6,0
QK14,ALBAN HILL NURSERY,Strip Vegetables Tray of 6,0
QK14,ALBAN HILL NURSERY,Sweet Pea Carry Packs Tray of 6,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,10cm Bean/Pea Range - Trays of 10,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,10cm Grafted Vegetable Trays of 10,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,10cm Pot Chilli Tray of 10,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,10cm Pot Heritage Tomato,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,10cm Sweet Potato Tray of 10,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,1L Pot Herb Tray of 8,200.72
QA30,ALLEYN PARK GARDEN CENTRE LTD.,1L Pot Veg Tray of 8,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Pot Herb Tray of 18,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Pot Strawberry Tray of 18,59.4
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Pot Sweet Pea Tray of 18,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Pot vegetables Tray of 18,856.44
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Premium Pot Veg Tray of 18,45.36
QA30,ALLEYN PARK GARDEN CENTRE LTD.,8.5cm Wildflower Tray of 18,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Bare root Wallflowers,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Point of Sale,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Q Sleeve Wallflowers,0
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Strawberry Carry Packs Tray of 6,34.92
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Strip Vegetables Tray of 6,1255.5
QA30,ALLEYN PARK GARDEN CENTRE LTD.,Sweet Pea Carry Packs Tray of 6,0
QA96,ALLINGTON NURSERY & GARDEN CEN,10cm Bean/Pea Range - Trays of 10,0
QA96,ALLINGTON NURSERY & GARDEN CEN,10cm Grafted Vegetable Trays of 10,0
QA96,ALLINGTON NURSERY & GARDEN CEN,10cm Pot Chilli Tray of 10,39.6
QA96,ALLINGTON NURSERY & GARDEN CEN,10cm Pot Heritage Tomato,0
QA96,ALLINGTON NURSERY & GARDEN CEN,10cm Sweet Potato Tray of 10,0
QA96,ALLINGTON NURSERY & GARDEN CEN,1L Pot Herb Tray of 8,0
QA96,ALLINGTON NURSERY & GARDEN CEN,1L Pot Veg Tray of 8,0
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Pot Herb Tray of 18,224.64
QA96,ALLINGTON NURSERY & GARDEN CEN,8.5cm Pot Strawberry Tray of 18,0
