CENTRE,8.5 Herb 8,1L Herb 8,Total Trays,,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,Total Trays,Coll,,,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,Total Trays,Coll,,,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,Total Trays,Coll,,,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Total Trays,Coll,,,Grafted 14,Grafted 16,Grafted 18,Total Trays,Coll,,,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Total Trays,Coll,,,Dyna Chilli 15,Dyna Chilli 17,Total Trays,Coll,,,P/Bean 15,P/Bean 17,P/Bean 19,Total Trays,Coll,,,Sweet Potato 17,Total Trays,Coll,,,Heritage Tom 18,Heritage Tom 20,Total Trays,Coll,,,1L Veg 20,1L Veg 22,Total Trays,Coll,,,Autumn Strip,Total Pots,Coll,,Taken,Wildflower Week 12,Total Pots,Coll
Ottery St Mary,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Oxford Garden Centre,,,,,,,30,,15,,15,15,9,,,,,,84,2.8,,,,,,,,,,,8,,,,,,8,0.266666667,,,15,,9,,15,,15,,15,,,69,2.3,,,,,16,,,,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Palmers Enderby,,,,,15,,,30,,,15,,30,,,,,,90,3,,,,,,,,,,,,,,,,,0,0,,,15,,,30,,,,,30,,,75,2.5,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,3,,3,6,0.2,,,16,,16,0.533333333,,,,16,16,32,1.066666667,,,12,12,0.4,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Palmers Ullesthorpe,,,,,,,,15,,15,,15,15,,,,,,60,2,,,,,,,,,,,,,,,,,0,0,,,,,,15,,15,,15,15,,,60,2,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,16,16,,32,1.066666667,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Paradise Park (Tate Bros),,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,,,,,,,,,,,,,,0,0,,,15,,15,,15,,15,,15,,,75,2.5,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,6,,6,0.2,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,30,30,1,,,16,16,0.533333333
Parkers Garden Company (Frinton),,,,,,,,,,,,,,,,,,,0,0,,,,30,,,,16,,,,,,,,,46,1.533333333,,,,15,,,,15,,,,,,30,1,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,,,,0,0,,,16,,16,0.533333333,,,16,,,16,0.533333333,,,8,8,0.266666667,,,,,0,0,,,30,30,60,2,,,,0,0,,,,0,0
Perrywood Sudbury Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,20,20,60,2,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Perrywood Tiptree Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,20,20,70,2.333333333,,,,,,0,0,,,,,0,0,,,,,,0,0,,,30,30,1,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Planters,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,3,,,3,0.1,,,30,,30,1,,,,,,0,0,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Plymouth Garden Centre,,,,,,15,,,,,15,,,,,,,,30,1,,,,,,16,,16,,,16,,,16,,,64,2.133333333,,,,15,,,,,,,,,,15,0.5,,,,,16,,16,,,16,,,48,1.6,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,16,,,16,0.533333333,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Polhill Sevenoaks,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,30,30,90,3,,,6,6,6,18,0.6,,,30,,30,1,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Poplar Nurseries,,,,,,,30,,,30,,,,,,,,,60,2,,,,,,,,,,,30,,,,,,30,1,,,,,15,,,,,,,,,15,0.5,,,,16,,,,,,,,,16,0.533333333,,,,30,,30,1,,,,6,,6,0.2,,,,16,16,0.533333333,,,,16,16,32,1.066666667,,,12,12,0.4,,,,,0,0,,,,30,30,1,,,,0,0,,,,0,0
Poplars Luton,,,,,,,15,,15,,15,,,,,,,,45,1.5,,,,,,,30,,30,,,30,,,,,90,3,,,,,15,,15,,15,,,,,45,1.5,,,,,,30,,,,,,,30,1,,,,20,,20,0.666666667,,,,3,,3,0.1,,,30,30,60,2,,,,16,,16,0.533333333,,,,0,0,,,30,,30,1,,,30,,30,1,,,,0,0,,,,0,0
Primrose Cottage Nursery ,,,,,,15,,,,,,,,,,,,,15,0.5,,,,,,,,,,16,,,,,,,16,0.533333333,,,,15,,,,,,15,,,,30,1,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Pugh's Garden Village Wenvoe,,,,,6,,,,6,,,,12,,,,,,24,0.8,,,,,,,8,,16,,16,,16,,,,56,1.866666667,,,,,,,,,,,,,,0,0,,,,,,8,,,  ,10,,,18,0.6,,,30,,30,60,2,,,3,,,3,0.1,,,16,,16,0.533333333,,,16,,8,24,0.8,,,8,8,0.266666667,,,,,0,0,,,30,,30,1,,,,0,0,,,,0,0
Pugh's Radyr,,,,,30,,15,,30,,30,,30,,,,,,135,4.5,,,,16,,16,,16,16,,16,,,,,,80,2.666666667,,,,,,,,,,,,,,0,0,,,16,,16,,16,16,,16,,16,96,3.2,,,30,,30,60,2,,,3,,3,6,0.2,,,16,8,24,0.8,,,16,,16,32,1.066666667,,,8,8,0.266666667,,,,,0,0,,,30,,30,1,,,,0,0,,,,0,0
R V Roger,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,0,0,,,,15,,,,,,,,,,15,0.5,,,30,,,,,,,,,,30,1,,,20,,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,4,4,0.133333333,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Radway Bridge Nurseries,,,,,,,,,,,,,,,,,,,0,0,,,,16,,,16,,,,16,,,,,,48,1.6,,,,,,,,,,,,,,0,0,,,,,,16,0,,,16,,,32,1.066666667,,,20,,,20,0.666666667,,,3,,,3,0.1,,,16,,16,0.533333333,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
RHS Bridgewater,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
RHS Harlow Carr,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
RHS Hyde Hall,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
RHS Rosemoor,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
RHS Wisley,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,30,,30,1,,,,,0,0,,,,0,0,,,,0,0
Richardsons,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,6,,,,,,6,0.2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,16,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Riverside Garden Centre Bristol,,,,,15,,30,,15,,,,,,,,,,60,2.5,,,,,,,,,,,,,,,,,0,0,,,15,,15,,,,15,,,,,45,1.875,,,,16,,,,16,,,,,32,1.066666667,,,,,,0,0,,,,,,0,0,,,,16,16,0.533333333,,,,16,16,32,0.444444444,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Root One,,,,,,,,,,,,,,,,,,,0,0,,,,16,,,16,,,16,,16,,,16,,80,2.666666667,,,,,,,,,,,,,,0,0,,,16,,,16,,,16,,16,,64,2.133333333,,,20,,20,40,1.333333333,,,3,,,3,0.1,,,,,0,0,,,16,,16,32,1.066666667,,,4,4,0.133333333,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Ross Garden Store,,,,,,15,,,,,,,,,,,,,15,0.5,,,,16,,,,,,,,,,,,,16,0.533333333,,,,15,,,15,15,,,,,,45,1.5,,,16,,,,,,,,,,16,0.533333333,,,,,20,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,30,30,1,,,,0,0
Rowan Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,16,,,12,,,12,,,12,,,,52,1.733333333,,,,,,,,,,,,,,0,0,,,16,,,12,,,12,,,12,52,1.733333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Rupert Gooddy (Bampton),,,,,30,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,15,,,15,,,15,,,,,,,,,16,,,,,,,,,,,,,,20,,,,,,,3,,,,,,,16,16,,,,,16,16,,,,,,8,8,0.266666667,,,30,,30,1,,,20,20,,,,,,,,,,,,
Ruxley Manor,,,,,15,15,15,15,15,15,15,15,15,,,,,,135,4.5,,,16,,,16,,16,,16,,16,,,,,80,2.666666667,,,,15,,,15,,15,,15,,,60,2,,,,16,,,,16,,,,,32,1.066666667,,,30,30,30,90,3,,,6,6,3,15,0.5,,,30,16,46,1.533333333,,,16,,16,32,1.066666667,,,16,16,0.533333333,,,16,,16,0.533333333,,,30,30,60,2,,,30,30,1,,,,0,0
Scotsdale - Fordham,,,,,,,30,,,15,,,15,,,,,,60,2,,,,,,16,,,,,16,,,,,,32,1.066666667,,,,,15,,,15,,,15,,,45,1.5,,,,16,,,16,,,,,,32,1.066666667,,,20,20,30,70,2.333333333,,,6,6,,12,0.4,,,,16,16,0.533333333,,,,,,0,0,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Scotsdale - Horningsea,,,,,15,,,15,,15,,15,15,15,,,,,90,3,,,,16,,,16,,16,,16,,,,,,64,2.133333333,,,15,,,,15,,,15,,,,45,1.5,,,16,,,8,,,,,,,24,0.8,,,20,,20,40,1.333333333,,,3,,,3,0.1,,,,16,16,0.533333333,,,16,16,,32,1.066666667,,,8,8,0.266666667,,,30,,30,1,,,,30,30,1,,,,0,0,,,,0,0
Scotsdale Great Shelford,,,,,30,15,30,15,15,30,30,30,15,,,,,,210,7,,,30,,16,16,16,,,16,,16,,,,,110,3.666666667,,,30,15,30,9,30,15,15,15,30,,,189,6.3,,,16,,16,,16,,16,,16,,80,2.666666667,,,30,30,30,90,3,,,6,3,6,15,0.5,,,30,30,60,2,,,30,30,16,76,2.533333333,,,30,30,1,,,30,,30,1,,,30,30,60,2,,,,0,0,,,,0,0
Secret Garden (RG Cocks),,,,,,,,,,,,,,,,,,,0,0,,,,16,,,,16,,,,16,,,,,48,1.6,,,,,,,,,,,,,,0,0,,,16,,,,16,,,,16,,48,1.6,,,30,30,30,90,3,,,,,,0,0,,,    ,,0,0,,,,,,0,0,,,,0,0,,,30,,30,1,,,30,30,60,2,,,,0,0,,,,0,0
Simpsons Nurseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,6,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
South Downs (Tate Bros),,,,,15,,15,,30,15,15,15,30,,,,,,135,4.5,,,,,,,,,,,,,,,,,0,0,,,15,,15,,30,15,15,15,30,,,135,4.5,,,,,,,,,,,,,0,0,,,20,20,,40,1.333333333,,,6,3,,9,0.3,,,30,30,60,2,,,,,,0,0,,,,0,0,,,,,0,0,,,20,20,40,1.333333333,,,30,30,1,,,16,16,0.533333333
St Peters (Worcester),,,,,15,,15,,30,,15,,15,,,,,,90,3,,,,16,,16,,16,,16,,16,,12,,,92,3.066666667,,,15,,15,,15,,15,,,,,60,2,,,,,16,,,16,16,16,,,64,2.133333333,,,,20,20,40,1.333333333,,,,3,,3,0.1,,,16,16,32,1.066666667,,,,16,16,32,1.066666667,,,6,6,0.2,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
Stermat Valley - Store 3 ,,30,,,,,,,15,,,,,,,,,,15,0.5,,,,,,,,,16,,16,,,,,,32,1.066666667,,,,,,,15,,,,,,,15,0.5,,,,,,,,16,,16,,,32,1.066666667,,,,,20,20,0.666666667,,,,,3,3,0.1,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Stewarts Abbey Garden Centre,,,,,15,,15,,12,,12,,15,,,,,,69,2.3,,,16,,12,,8,,8,,8,,,,,,52,1.733333333,,,12,,6,,6,,9,,15,,,48,1.6,,,,16,,,,8,,,,,24,0.8,,,30,20,30,80,2.666666667,,,6,,3,9,0.3,,,30,16,46,1.533333333,,,30,16,16,62,2.066666667,,,16,16,0.533333333,,,30,,30,1,,,30,30,60,2,,,,0,0,,,16,16,0.533333333
Stewarts Broomhill,,,,,15,,,,15,,15,,,,,,,,45,1.5,,,,,,,12,,16,,,,,,,,28,0.933333333,,,15,,,15,,,15,,,,,45,1.5,,0,,,,,,,16,,,,16,0.533333333,,,20,,20,40,1.333333333,,,3,,3,6,0.2,,,16,16,32,1.066666667,,,16,,16,32,1.066666667,,,8,8,0.266666667,,,12,,12,0.4,,,30,20,50,1.666666667,,,,0,0,,,16,16,0.533333333
Stewarts Christchurch,,,,,15,15,,15,30,15,9,12,30,,,,,,141,4.7,,,16,16,,16,16,16,30,10,30,16,16,,,,182,6.066666667,,,15,15,,15,15,15,15,15,15,,,120,4,,,16,,16,16,16,16,16,16,,,112,3.733333333,,,30,60,30,120,4,,,6,6,6,18,0.6,,,30,16,46,1.533333333,,,30,16,30,76,2.533333333,,,30,30,1,,,60,,60,2,,,30,30,60,2,,,,0,0,,,16,16,0.533333333
Stratford Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summerseat,,,,,30,,,,,15,,,15,,,,,,60,2,,,,15,,,,15,,,,15,,,,,45,1.5,,,30,,,,,15,,,15,,,60,2,,,15,,,,15,,,,15,,45,1.5,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,4,4,0.133333333,,,8,,8,0.266666667,,,20,20,40,1.333333333,,,,0,0,,,16,16,0.533333333
SUNSHINE GC,,,,,15,,15,,,15,,,,,,,,,45,1.5,,,16,,,16,,,16,,,16,,,,,64,2.133333333,,,15,,,,,,,,,,,15,0.5,,,,,,,,,,,,,0,0,,,30,60,30,120,4,,,3,3,3,9,0.3,,,30,,30,1,,,16,,,16,0.533333333,,,12,12,0.4,,,30,,30,1,,,,,0,0,,,,0,0,,,,0,0
Tenterden Garden Centre,,,,,15,,,,15,,,,15,,,,,,45,1.5,,,16,,,,16,,,,16,,,16,,,64,2.133333333,,,15,,,,15,,,,15,,,45,1.5,,,,,16,,,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,,30,30,1,,,30,30,1,,,,0,0
The Barn Peterbrough (Oundle),,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,16,,16,0.533333333,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
The Fair View Gardener,,,,,,,,,,,,,,,,,,,0,0,,,16,,,,,,,,,,,,,,16,0.533333333,,,15,,15,,,,,,,,,30,1,,,16,,,,16,,,,,,32,1.066666667,,,30,,,30,1,,,3,,,3,0.1,,,16,,16,0.533333333,,,16,16,16,48,1.6,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
The Old Well,,,,,,15,,,15,,,,15,,,,,,45,1.5,,,,,16,,16,,,,16,,,,,,48,1.6,,,,15,,,,15,,,15,,,45,1.5,,,,,,,,,,,,,0,0,,,20,20,,40,1.333333333,,,,,,0,0,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,20,,20,0.666666667,,,30,30,1,,,,0,0
Thetford Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,16,,,,16,,8,,,,,,,,40,1.333333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,20,,40,1.333333333,,,3,,,3,0.1,,,12,,12,0.4,,,,16,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,30,30,60,2,,,,0,0,,,,0,0
Thurrock Garden Centre,15,15,,,15,,15,,15,,,,,,,,,,45,1.5,,,,,,,16,,8,,16,,16,16,16,,88,2.933333333,,,,,15,,15,,,,,,,30,1,,,,,,,,8,,,16,,24,0.8,,,,30,,30,1,,,,3,3,6,0.2,,,8,16,24,0.8,,,8,,16,24,0.8,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,30,30,1,,,,0,0
Toad Hall Garden Centre,,,,,15,,,,15,,,,15,,,,,,45,1.5,,,,16,,,,,,,,,,,,,16,0.533333333,,,15,,,,,,,,15,,,30,1,,,16,,,,,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Tom's Nurseries and Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,16,,,,,,,,,,,,16,0.533333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Tong Garden Centre Ltd (Otley),,,,,,,,,,,,,,,,,,,0,0,,,,12,,,12,,,12,,,12,,,,48,1.6,,,,,,,,,,,,,,0,0,,,8,,,8,,,,,,,16,0.533333333,,,30,,,30,1,,,,3,,3,0.1,,,30,,30,1,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,30,,30,1,,,,0,0,,,,0,0
Tong Garden Centre Ltd (Tingley),,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,16,,16,,16,16,16,,16,,16,,,112,3.733333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,,3,,3,0.1,,,16,,16,0.533333333,,,16,,16,32,1.066666667,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
Tong Garden Centre Ltd (Tong),,,,,,,,,,,,,,,,,,,0,0,,,,12,,,12,,,12,,,12,,,,48,1.6,,,,,,,,,,,,,,0,0,,,8,,,8,,,,,,,16,0.533333333,,,30,,,30,1,,,,3,,3,0.1,,,30,,30,1,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,30,,30,1,,,,0,0,,,,0,0
Trago Mills Newton Abbot,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Treborth,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Trowell,,,,,,15,15,15,15,15,15,15,15,,,,,,120,4,,,,,16,,,16,,,16,,,16,,,64,2.133333333,,,,15,,15,,15,,15,,,,60,2,,,,,,,,,,,,,0,0,,,30,,,30,1,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Upcountry Garden and Country Store Scaynes Hill,,,,,,,,30,,,,,,,,,,,30,1,,,30,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,0,0,,,30,,,,,,,,,,30,1,,,30,,,30,1,,,3,,,3,0.1,,,,,0,0,,,30,,,30,1,,,30,30,1,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Value House Stores Barnstaple,20,20,,,,,15,,,15,,,,,,,,,30,1,,,,16,,,,,,,,,,,,,16,0.533333333,,,,,,,,,,,,,,0,0,,,16,,,,,,,,,,16,0.533333333,,,20,,,20,0.666666667,,,3,,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,,,0,0,,,30,,30,1,,,,0,0,,,,0,0
Value House Stores Bideford,,,,,,,15,,,,,,,,,,,,15,0.5,,,,16,,,,,,,,,,,,,16,0.533333333,,,,,,,,,,,,,,0,0,,,16,,,,,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Vanstone Park Garden Centre,,,,,,15,,,15,,,,15,,,,,,45,1.5,,,,16,,,16,,,,16,,,,,,48,1.6,,,,15,,,15,,,,15,,,45,1.5,,,16,,,16,,,,16,,,48,1.6,,,30,,,30,1,,,,,,0,0,,,30,,30,1,,,16,16,16,48,1.6,,,8,8,0.266666667,,,16,,16,0.533333333,,,30,30,60,2,,,,0,0,,,,0,0
Vincent Nurseries,,,,,15,,,,,,,,15,,,,,,30,1,,,16,,,16,,16,,16,,,,16,,,80,2.666666667,,,,,,,,,,,,,,0,0,,,,,,,16,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Waresley Park Garden Centre,,,,,,30,,,15,,,,,,,,,,45,1.5,,,,16,,,16,,,,,,,,,,32,1.066666667,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,3,,3,0.1,,,,16,16,0.533333333,,,,16,16,32,1.066666667,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Webbs Cheltenham,,,,,,,,15,,15,,,,,,,,,30,1,,,,16,,,16,,,16,,,,,,,48,1.6,,,15,,15,,15,,,,,,,45,1.5,,,,16,,16,,,,,,,32,1.066666667,,,20,,,20,0.666666667,,,6,,,6,0.2,,,16,,16,0.533333333,,,16,,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Webbs Millets Farm,,,,,15,,15,,15,,15,,,,,,,,60,2,,,16,,,,16,,16,,,,,,,,48,1.6,,,15,,,,15,15,,,,,,45,1.5,,,,16,,16,,16,,,,,48,1.6,,,,30,,30,1,,,6,,3,9,0.3,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Webbs West Hagley,,,,,,,15,,,15,,,,,,,,,30,1,,,,,,16,,,16,,,,,,,,32,1.066666667,,,,,15,,,16,,,,,,31,1.033333333,,,,,,16,,,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Webbs Wychbold,,,,,15,,,,,15,,15,,,,,,,45,1.5,,,16,,,,,,16,,,16,,,,,48,1.6,,,,15,,15,15,,15,,,,,60,2,,,,16,,8,,16,,,,,40,1.333333333,,,20,30,20,70,2.333333333,,,6,6,,12,0.4,,,16,16,32,1.066666667,,,16,,16,32,1.066666667,,,8,8,0.266666667,,,16,,16,0.533333333,,,30,20,50,1.666666667,,,,0,0,,,,0,0
Welland Vale Nurseries ,,,,,,,,15,,,,,15,,,,,,30,1,,,,,,,,16,,,,,,,,,16,0.533333333,,,,,15,,15,,,,,,,30,1,,,,,,,,,,,,,0,0,,,,,20,20,0.666666667,,,,,3,3,0.1,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,,,0,0,,,,20,20,0.666666667,,,30,30,1,,,,0,0
