CENTRE,8.5 Herb 8,1L Herb 8,Total Trays,,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,Total Trays,Coll,,,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,Total Trays,Coll,,,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,Total Trays,Coll,,,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Total Trays,Coll,,,Grafted 14,Grafted 16,Grafted 18,Total Trays,Coll,,,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Total Trays,Coll,,,Dyna Chilli 15,Dyna Chilli 17,Total Trays,Coll,,,P/Bean 15,P/Bean 17,P/Bean 19,Total Trays,Coll,,,Sweet Potato 17,Total Trays,Coll,,,Heritage Tom 18,Heritage Tom 20,Total Trays,Coll,,,1L Veg 20,1L Veg 22,Total Trays,Coll,,,Autumn Strip,Total Pots,Coll,,Taken,Wildflower Week 12,Total Pots,Coll
TYPE CENTRE HERE FIRST!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Hall  Feltham,,,,,15,,15,,15,,15,15,,,,,,,75,2.5,,,16,,,,,,16,,,,,,,,32,1.066666667,,,15,,,,15,,15,,,,,45,1.5,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,12,12,0.4,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Almondsbury Garden Centre,,,,,60,,30,,60,,30,,60,,,,,,240,8,,,,,,,,,,,,,,,,,0,0,,,30,,30,,30,,30,,30,,,150,5,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Altons,,,,,15,,15,,15,,15,,,,,,,,60,2,,,16,,,,,,,,,,,,,,16,0.533333333,,,,15,,,15,,16,,,,,46,1.533333333,,,16,,,,,,,,,,16,0.533333333,,,20,20,,40,1.333333333,,,3,3,3,9,0.3,,,16,16,32,1.066666667,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,30,,30,1,,,,0,0,,,,0,0
Ansell Garden Centre,,,,,,15,,,15,,,15,,,,,,,45,1.5,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,30,30,1,,,,0,0
Archers Low Nursery,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,16,,16,,16,,16,,,,64,2.133333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Avon Mill Garden Ltd,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,16,16,,,,,,,,32,1.066666667,,,,,,,,,,,,,,0,0,,,,,,,16,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,16,,,16,0.533333333,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Aylett Nurseries,,,,,15,,15,,30,,30,15,30,,,,,,135,4.5,,,16,,16,,16,,30,,30,,30,,,,138,4.6,,,,15,,15,,15,15,15,15,,,90,3,,,,16,16,,,16,,16,,16,80,2.666666667,,,40,60,40,140,4.666666667,,,6,6,6,18,0.6,,,30,16,46,1.533333333,,,,30,16,46,1.533333333,,,30,30,1,,,30,,30,1,,,30,30,60,2,,,60,60,2,,,16,16,0.533333333
Aylings,,,,,,15,,,,,,,,,,,,,15,0.5,,,,16,,,,,16,,,,,,,,32,1.066666667,,,,15,,,,,,,,,,15,0.5,,,16,,,,,,,,,,16,0.533333333,,0,20,,,20,0.666666667,,,3,,,3,0.1,,,16,,16,0.533333333,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Bell Plantation,,,,,15,,,,9,,,,15,,,,,,39,1.3,,,0,,,,10,,,,16,,,,16,,42,1.4,,,15,,,,9,,,,15,,,39,1.3,,,,,,10,,,,16,,,26,0.866666667,,,20,,20,40,1.333333333,,,3,,,3,,,,16,,16,0.533333333,,,16,,16,32,1.066666667,,,8,8,0.266666667,,,16,,16,0.533333333,,,30,20,50,1.666666667,,,,0,0,,,,0,0
Birchen Grove,,,,,,,,15,,,30,,,,,,,,45,1.5,,,,16,,,30,,,,30,,,,,,76,2.533333333,,,,,,15,,,15,,,,,30,1,,,,,,,,,,,,,0,0,,,30,30,,60,2,,,3,3,,6,0.2,,,30,30,60,2,,,16,16,,32,1.066666667,,,8,8,0.266666667,,,30,,30,1,,,40,40,80,2.666666667,,,30,30,1,,,,0,0
Birkacre,,,,,,,,,15,,15,,15,,,,,,45,1.5,,,,,,,16,,,,16,,,,,,32,1.066666667,,,,,,,15,,,,15,,,30,1,,,,,,,,,,,,,0,0,,,30,30,,60,2,,,3,,,3,0.1,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Blackbrooks Hastings St Leonards,,,,,,,15,,15,,15,,15,,,,,,60,2,,,,,,,16,,,,16,,,,,,32,1.066666667,,,,,15,,15,,15,,,,,45,1.5,,,,,,,,16,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,16,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,30,30,60,2,,,,0,0,,,,0,0
Blackbrooks Lower Dicker,,,,,,,15,,15,,15,,15,,,,,,60,2,,,,,,,16,,,,16,,,,,,32,1.066666667,,,,,15,,15,,15,,,,,45,1.5,,,,,,,,16,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,16,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,30,30,60,2,,,,0,0,,,,0,0
Blackbrooks Sedlescombe,,,,,,,15,,15,,15,,15,,,,,,60,2,,,,,,,16,,,,16,,,,,,32,1.066666667,,,,,15,,15,,15,,,,,45,1.5,,,,,,,,16,,,,,16,0.533333333,,,,20,30,50,1.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,16,16,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,30,30,60,2,,,,0,0,,,,0,0
Bosworths Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,16,,16,,16,16,16,,16,,96,3.2,,,30,30,,60,2,,,3,3,,6,0.2,,,16,16,32,1.066666667,,,,,,0,0,,,30,30,1,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Bow Garden and Aquatic Centre,,,,,,9,,,,,,,,,,,,,9,0.3,,,,8,,,4,,,,,,,,,,12,0.4,,,,9,,,9,,,,,,,18,0.6,,,4,,,,,,,,,,4,0.133333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Bradley Fold,,,,,30,,,,,30,,,,,,,,,60,2,,,,15,,,,15,,,,15,,,,,45,1.5,,,30,,,,,30,,,15,,,75,2.5,,,15,,,,30,,,,15,,60,2,,,,,,0,0,,,,,,0,0,,,16,16,32,1.066666667,,,,16,,16,0.533333333,,,4,4,0.133333333,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,30,30,1
